case_id,formula,material_type,condition,pressure_GPa,space_group,prototype,a,b,c,structure_completeness,target_confidence,mismatch_flags,recommended_next_step,lambda_ref
lam192,CaAlSi,intermetallic,"CaAlSi 1H, 40 kbar",4.0,P-6m2 (187),nH-CaAlSi 1H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 1H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.7
lam193,CaAlSi,intermetallic,"CaAlSi 1H, P=0",0.0,P-6m2 (187),nH-CaAlSi 1H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 1H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.73
lam194,CaAlSi,intermetallic,"CaAlSi 2H, 20 kbar",2.0,P6_3/mmc (194),nH-CaAlSi 2H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 2H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.47
lam195,CaAlSi,intermetallic,"CaAlSi 2H, 40 kbar",4.0,P6_3/mmc (194),nH-CaAlSi 2H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 2H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.43
lam196,CaAlSi,intermetallic,"CaAlSi 2H, P=0",0.0,P6_3/mmc (194),nH-CaAlSi 2H stacking variant under pressure,,,,stacking_prototype_only_lattice_missing,medium,lkm_has_lambda_but_no_structure;repo_current_formula_mismatch:CaAlSiH->CaAlSi;manual_required,Recover 2H-CaAlSi pressure lattice and stacking coordinates; current CaAlSiH candidate is not target formula.,0.6
lam197,K2Cr3As3,intermetallic,(single),,P-6m2,"noncentrosymmetric quasi-1D A2T3As3 (Cr3As3 tubes), hexagonal",9.9832,9.9832,4.2304,lattice+proto,medium,repo_structure_absent;lkm_has_lambda_but_incomplete_structure,Recover exact internal coordinates before production DFPT.,3
lam198,"(Ce,La)H9",intermetallic,(single),200,P-6m2,"ordered Ce/La substitution on P6_3/mmc superhydride parent (clathrate H cage); Ce:La=1, 1x1x1 ordered cell",,,,proto-only,low,material_type_mismatch_hydride;lkm_has_lambda_but_incomplete_structure;manual_required,Move to hydride audit or recover ordered hydride cell before use.,3
lam199,C6H6,intermetallic,"benzene P2_1/c, 190 GPa, mu*=0.10",190,P2_1/c,molecular benzene crystal (monoclinic),,,,proto-only,low,material_type_mismatch_organic;lkm_has_lambda_but_incomplete_structure;manual_required,Treat outside intermetallic set; fetch molecular crystal CIF/coords if retained.,0.68
lam200,Be-Al alloy,intermetallic,Be-Al 24:976,,,beryllium-based alloy/VCA composition target,,,,composition_only_no_crystal_structure,low,lkm_has_lambda_but_no_structure;repo_structure_is_database_candidate_not_ground_truth;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.427
lam201,Be-In alloy,intermetallic,Be-In 31:69,,,beryllium-based alloy/VCA composition target,,,,composition_only_no_crystal_structure,low,lkm_has_lambda_but_no_structure;repo_structure_is_database_candidate_not_ground_truth;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.627
lam202,Be-Nb alloy,intermetallic,Be-Nb 23:77,,,beryllium-based alloy/VCA composition target,,,,composition_only_no_crystal_structure,low,lkm_has_lambda_but_no_structure;repo_structure_is_database_candidate_not_ground_truth;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.684
lam203,Be43Bi20Pb37,intermetallic,Be43Bi20Pb37 (ternary),,,,,,,none,low,lkm_has_lambda_but_no_structure;repo_structure_absent;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,1.015
lam204,Be43Pb57,intermetallic,Be43Pb57,,,,,,,none,low,lkm_has_lambda_but_no_structure;repo_structure_absent;manual_required,Choose VCA/SQS/ordered model explicitly; do not treat OpenLAM lowest-energy binary as ground truth.,0.988
lam205,K2Mo3As3,intermetallic,"K2Mo3As3, mu*=0.12",,P-6m2,"noncentrosymmetric quasi-1D A2T3As3 (Mo3As3 tubes), hexagonal",10.256,10.256,4.463,lattice+proto,medium,repo_structure_absent;lkm_has_lambda_but_incomplete_structure,Recover internal coordinates before SCF generation.,1.92
lam207,CdAs,intermetallic,FCC CdAs,,Fm-3m (225),NaCl-type FCC CdAs,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.426
lam208,CdN,intermetallic,FCC CdN,,Fm-3m (225),NaCl-type FCC CdN,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.314
lam209,CdP,intermetallic,FCC CdP,,Fm-3m (225),NaCl-type FCC CdP,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.266
lam210,CuSb,intermetallic,FCC CuSb,,Fm-3m (225),NaCl-type FCC CuSb,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.016
lam211,HfP,intermetallic,FCC HfP,,Fm-3m (225),NaCl-type FCC HfP,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,0.67
lam212,HgSb,intermetallic,FCC HgSb,,Fm-3m (225),NaCl-type FCC HgSb,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,0.956
lam213,ZnSb,intermetallic,FCC ZnSb,,Fm-3m (225),NaCl-type FCC ZnSb,,,,full NaCl prototype_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Recover NaCl-type lattice constant from original table or relax constrained Fm-3m prototype.,1.387
lam214,H3P,intermetallic,"Im-3m H3P, a=3.0 A (~220 GPa), mu*=0 (H-point unstable modes omitted)",220.0,Im-3m (229),Im-3m dense hydride H3P,3.0,3.0,3.0,full Im-3m hydride prototype,high,material_type_mismatch_hydride,"Keep as hydride-class target; if retained in intermetallic CSV, replace current structure with Im-3m a=3.0 A hydride cell.",1.66
lam215,H3S,intermetallic,"Im-3m H3S, a=3.0 A (~220 GPa), mu*=0",220.0,Im-3m (229),Im-3m dense hydride H3S,3.0,3.0,3.0,full Im-3m hydride prototype,high,material_type_mismatch_hydride,"Keep as hydride-class target; if retained in intermetallic CSV, replace current structure with Im-3m a=3.0 A hydride cell.",1.38
lam216,AlB2 monolayer,intermetallic,monolayer AlB2 (single Al on honeycomb B),,P6/mmm (191),monolayer AlB2 condition attached to Ca-VI paper_id,,,,candidate_only_no_lkm_support,low,condition_material_description_inconsistent;same_paper_id_condition_suspected_cross_family;manual_required,Resolve correct AlB2 paper/source; OpenLAM AlB2 is only a candidate.,1.01
lam217,H,intermetallic,"H-diamond(111) FET n=6e14 cm-2, full-BZ Wannier",,,"Hydrogenated (111) diamond surface slab in FET geometry (hexagonal surface cell); surface C in sp3 diamond network terminated by H, hole-doped n=6e14 cm-2",,,,proto-only,low,condition_material_description_inconsistent;lkm_has_lambda_but_no_structure;manual_required,Recover exact slab/vacuum/field setup from source paper before any DFPT comparison.,0.81
lam218,H,intermetallic,"H-diamond(111) FET n=6e14 cm-2, q=Gamma approx",,,"Hydrogenated (111) diamond surface slab in FET geometry (hexagonal surface cell); surface C in sp3 diamond network terminated by H, hole-doped n=6e14 cm-2",,,,proto-only,low,condition_material_description_inconsistent;lkm_has_lambda_but_no_structure;manual_required,Recover exact slab/vacuum/field setup from source paper before any DFPT comparison.,1.09
lam219,Sn3S4I,intermetallic,Sn3S4 I-43d 30 GPa,30,I-43d,body-centered cubic Sn3S4 (no named prototype),,,,proto-only,medium,repo_current_formula_mismatch:Sn3S4I->Sn3S4;lkm_has_lambda_but_incomplete_structure;repo_structure_absent,Recover I-43d lattice/coords and correct the formula before building.,1.2
lam221,BaC6,intermetallic,BaC6 0 GPa,0.0,,alkaline-earth graphite intercalation compound AC6,4.302,4.302,5.25,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.38
lam222,BaC6,intermetallic,BaC6 8 GPa,8.0,,alkaline-earth graphite intercalation compound AC6,4.287,4.287,4.925,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.45
lam223,CaC6,intermetallic,CaC6 0 GPa,0.0,R-3m (166),alkaline-earth graphite intercalation compound AC6,4.333,4.333,4.524,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.83
lam224,CaC6,intermetallic,CaC6 5 GPa,5.0,R-3m (166),alkaline-earth graphite intercalation compound AC6,4.317,4.317,4.349,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.845
lam225,SrC6,intermetallic,SrC6 0 GPa,0.0,,alkaline-earth graphite intercalation compound AC6,4.315,4.315,4.95,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.54
lam226,SrC6,intermetallic,SrC6 8 GPa,8.0,,alkaline-earth graphite intercalation compound AC6,4.295,4.295,4.75,lattice_plus_stacking_prototype,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,"Use AC6 pressure lattice, then confirm stacking/space group and internal C positions from source.",0.65
lam229,LaPtBN,intermetallic,LaPtBN,,,Layered TM boronitride LaPtBN (n=2 boronitride; alternating Pt-B and La-N layers); isostructural with LaNiBN,,,,proto-only,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_absent,Recover lattice/internal z for LaMBN before SCF generation.,0.56
lam230,LaNiC2,intermetallic,(single),,Amm2 (38),non-centrosymmetric LaNiC2,,,,prototype_only_lattice_missing,medium,lkm_has_lambda_but_incomplete_structure;repo_structure_is_database_candidate_not_ground_truth,Confirm Amm2 lattice/coordinates from paper or CIF before production.,0.52
lam237,OsO3,simple-metal,"OsO3, R-3c, 30 GPa, no SOC",30.0,R-3c (167),R-3c rhombohedral transition-metal trioxide XO3,,,,phase/pressure only; lattice constants and fractional coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Pm-3m->R-3c,Fetch arXiv supplemental/CIF or rebuild R-3c XO3 at 30 GPa; do not use current OpenLAM cubic/low-symmetry SCF as target.,1.501
lam238,PtO3,simple-metal,"PtO3, R-3c, 30 GPa, no SOC",30.0,R-3c (167),R-3c rhombohedral transition-metal trioxide XO3,,,,phase/pressure only; lattice constants and fractional coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:P1->R-3c,Fetch arXiv supplemental/CIF or rebuild R-3c XO3 at 30 GPa; do not use current OpenLAM cubic/low-symmetry SCF as target.,0.498
lam239,ReO3,simple-metal,"ReO3, R-3c, 30 GPa, no SOC",30.0,R-3c (167),R-3c rhombohedral transition-metal trioxide XO3,,,,phase/pressure only; lattice constants and fractional coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Pm-3m->R-3c,Fetch arXiv supplemental/CIF or rebuild R-3c XO3 at 30 GPa; do not use current OpenLAM cubic/low-symmetry SCF as target.,0.95
lam240,ReO3,simple-metal,"ReO3, R-3c, 30 GPa, with SOC",30.0,R-3c (167),R-3c rhombohedral transition-metal trioxide XO3,,,,phase/pressure only; lattice constants and fractional coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Pm-3m->R-3c,Fetch arXiv supplemental/CIF or rebuild R-3c XO3 at 30 GPa; do not use current OpenLAM cubic/low-symmetry SCF as target.,0.945
lam241,RuO3,simple-metal,"RuO3, R-3c, 30 GPa, no SOC",30.0,R-3c (167),R-3c rhombohedral transition-metal trioxide XO3,,,,phase/pressure only; lattice constants and fractional coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Cc->R-3c,Fetch arXiv supplemental/CIF or rebuild R-3c XO3 at 30 GPa; do not use current OpenLAM cubic/low-symmetry SCF as target.,2.542
lam242,Ta,simple-metal,(single),,Im-3m (229),"bcc tantalum candidate; paper_id resolves to LaPt3Si/LaPtSi3, not Ta",,,,repo/OpenLAM candidate only; LKM paper_id is unrelated so target structure not verified from required source,low,lkm_paper_title_mismatch;condition_material_mismatch;manual_required,"Locate correct Ta EPC paper_id/DOI; if unavailable, treat bcc Ta OpenLAM as candidate only.",0.877
lam243,Li,simple-metal,"fcc Li, 14 GPa",14.0,Fm-3m (225),fcc lithium under pressure,,,,fcc prototype only; pressure-specific lattice constants/coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:P2_1/m->Fm-3m,"Recover pressure-specific fcc Li lattice constants from original/supplement, then build Fm-3m Li; current Li.scf.in is not usable.",0.49
lam244,Li,simple-metal,"fcc Li, 20 GPa",20.0,Fm-3m (225),fcc lithium under pressure,,,,fcc prototype only; pressure-specific lattice constants/coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:P2_1/m->Fm-3m,"Recover pressure-specific fcc Li lattice constants from original/supplement, then build Fm-3m Li; current Li.scf.in is not usable.",0.66
lam245,Li,simple-metal,"fcc Li, 30 GPa",30.0,Fm-3m (225),fcc lithium under pressure,,,,fcc prototype only; pressure-specific lattice constants/coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:P2_1/m->Fm-3m,"Recover pressure-specific fcc Li lattice constants from original/supplement, then build Fm-3m Li; current Li.scf.in is not usable.",0.83
lam246,Li,simple-metal,"fcc Li, 36 GPa",36.0,Fm-3m (225),fcc lithium under pressure,,,,fcc prototype only; pressure-specific lattice constants/coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:P2_1/m->Fm-3m,"Recover pressure-specific fcc Li lattice constants from original/supplement, then build Fm-3m Li; current Li.scf.in is not usable.",1.1
lam247,Li,simple-metal,"fcc Li, 8 GPa",8.0,Fm-3m (225),fcc lithium under pressure,,,,fcc prototype only; pressure-specific lattice constants/coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:P2_1/m->Fm-3m,"Recover pressure-specific fcc Li lattice constants from original/supplement, then build Fm-3m Li; current Li.scf.in is not usable.",0.39
lam251,Fe,simple-metal,"nm-hcp Fe, 100 GPa",100.0,P6_3/mmc (194),non-magnetic hcp Fe,,,,phase/pressure only; lattice constants and coordinates not found in LKM graph or markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Im-3m->P6_3/mmc,Recover hcp Fe 100 GPa lattice from original method/source or relax at 100 GPa; current Fe.scf.in is bcc.,0.33
lam252,SnAs,simple-metal,rock-salt SnAs,,Fm-3m (225),rock-salt SnAs candidate,,,,repo/OpenLAM candidate only; LKM paper is amorphous superconductors and contains no SnAs structure,low,lkm_paper_title_mismatch;condition_material_mismatch;manual_required,Find the correct rock-salt SnAs paper/source; current SnAs.scf.in can only be a candidate.,0.64
lam254,La,simple-metal,La Fmmm distorted fcc 130 GPa,130.0,Fmmm (69),distorted fcc La at megabar pressure,3.9026,3.9402,3.9821,lattice derived from paper pressure-linear Fmmm fits; fractional positions not found in LKM markdown,medium,lkm_has_lambda_but_incomplete_structure;repo_current_sg_mismatch:Fm-3m->Fmmm,"Use Fmmm 130 GPa lattice as starting point, but recover/refine atomic basis from supplement or reproduce DFT relaxation.",0.69
lam255,La,simple-metal,La R-3m slightly distorted fcc ~50 GPa,~50,R-3m (166),slightly distorted fcc La,,,,phase/pressure only; lattice constants and fractional coordinates for R-3m not found in LKM markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Fm-3m->R-3m,Fetch supplemental Table S1/CIF for R-3m La around 50 GPa or relax the R-3m distorted fcc cell.,1.07
lam256,C60,simple-metal,"A3C60, a=14.1 Angstrom",0,Fm-3m,fcc A3C60 alkali-doped fulleride,14.1,14.1,14.1,lattice+proto,medium,repo_absent_structure;lkm_has_lambda_but_incomplete_structure,Build ordered fcc C60 molecular cell from cited structural reference; do not treat formula-only C60 as enough.,0.49
lam257,C60,simple-metal,"A3C60, a=14.4 Angstrom",0,Fm-3m,fcc A3C60 alkali-doped fulleride,14.4,14.4,14.4,lattice+proto,medium,repo_absent_structure;lkm_has_lambda_but_incomplete_structure,Build ordered fcc C60 molecular cell from cited structural reference; do not treat formula-only C60 as enough.,0.77
lam258,C60,simple-metal,"A3C60, a=14.6 Angstrom",0,Fm-3m,fcc A3C60 alkali-doped fulleride,14.6,14.6,14.6,lattice+proto,medium,repo_absent_structure;lkm_has_lambda_but_incomplete_structure,Build ordered fcc C60 molecular cell from cited structural reference; do not treat formula-only C60 as enough.,0.83
lam259,C60,simple-metal,"A3C60, two-hole doped hu band, a=14.1 Angstrom",0,Fm-3m,"fcc C60 (two-hole-doped hu band, rigid-band)",14.1,14.1,14.1,lattice+proto,medium,repo_absent_structure;lkm_has_lambda_but_incomplete_structure,Build ordered fcc C60 molecular cell from cited structural reference; do not treat formula-only C60 as enough.,0.85
lam260,Si,simple-metal,Si simple-hexagonal (sh) 12.7 GPa,12.7,P6/mmm (191),simple-hexagonal silicon,,,,simple-hexagonal prototype only; lattice constants/coordinates not found in LKM markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Fd-3m->P6/mmm,Recover sh-Si lattice constants at 12.7 GPa from original structural reference or relax P6/mmm Si at pressure.,0.4
lam265,NbB1.93,simple-metal,NbB1.93 (B-deficient),,P6/mmm,AlB2,3.1153,3.1153,3.2603,lattice+proto,medium,repo_absent_structure;lkm_has_lambda_but_incomplete_structure,Create an explicit vacancy supercell or CPA surrogate; do not substitute stoichiometric NbB2 silently.,0.212
lam268,AtH2,simple-metal,Cmcm-AtH2 50 GPa,50.0,Cmcm (63),Cmcm AtH2 condition from lambda_reference only,,,,"no valid structure source: paper_id resolves to carbon-doped MgB2, not At-H hydrides; lattice/coordinates absent",low,condition_material_mismatch;same_paper_id_cross_family_suspected;lkm_paper_title_mismatch;repo_current_sg_mismatch:P6_3/mmc->Cmcm;manual_required,Resolve correct At-H paper_id/source before building; do not use OpenLAM H2 or MgB2 carbon paper as target.,0.57
lam269,H4,simple-metal,Cmmm-AtH4 250 GPa,250,Cmmm,,,,,none,low,condition_material_mismatch;same_paper_id_cross_family_suspected;lkm_paper_title_mismatch;repo_absent_structure;manual_required,Resolve correct At-H paper_id/source before building; do not use OpenLAM H2 or MgB2 carbon paper as target.,0.9
lam270,P6H4,simple-metal,P6/mmm-AtH4 100 GPa,100,P6/mmm,,,,,none,low,condition_material_mismatch;same_paper_id_cross_family_suspected;lkm_paper_title_mismatch;repo_absent_structure;manual_required,Resolve correct At-H paper_id/source before building; do not use OpenLAM H2 or MgB2 carbon paper as target.,0.82
lam271,P6H4,simple-metal,P6/mmm-AtH4 200 GPa with SOC,200,P6/mmm,,,,,none,low,condition_material_mismatch;same_paper_id_cross_family_suspected;lkm_paper_title_mismatch;repo_absent_structure;manual_required,Resolve correct At-H paper_id/source before building; do not use OpenLAM H2 or MgB2 carbon paper as target.,0.86
lam272,P6H4,simple-metal,P6/mmm-AtH4 200 GPa without SOC,200,P6/mmm,,,,,none,low,condition_material_mismatch;same_paper_id_cross_family_suspected;lkm_paper_title_mismatch;repo_absent_structure;manual_required,Resolve correct At-H paper_id/source before building; do not use OpenLAM H2 or MgB2 carbon paper as target.,0.76
lam273,AtH2,simple-metal,Pnma-AtH2 200 GPa,200.0,Pnma (62),Pnma AtH2 condition from lambda_reference only,,,,"no valid structure source: paper_id resolves to carbon-doped MgB2, not At-H hydrides; lattice/coordinates absent",low,condition_material_mismatch;same_paper_id_cross_family_suspected;lkm_paper_title_mismatch;repo_current_sg_mismatch:P6_3/mmc->Pnma;manual_required,Resolve correct At-H paper_id/source before building; do not use OpenLAM H2 or MgB2 carbon paper as target.,0.56
lam274,III,simple-metal,"Sc-III, 100 GPa, mu*=0.10",100,,Sc-III high-pressure phase of elemental scandium (structure not fully solved experimentally; calc input structure not reported in LKM text),,,,none,low,lkm_has_lambda_but_no_structure;repo_absent_structure;manual_required,Fetch supplemental/Ref.36 structural model or contact original data before benchmarking Sc-III.,0.79
lam276,Sc,simple-metal,"Sc-V, 260 GPa, mu*=0.10",260.0,P6_122 (178),Sc-V helical-chain phase,,,,space group from paper introduction; lattice constants/fractional coordinates not reported in LKM markdown,medium,lkm_has_lambda_but_no_structure;repo_current_sg_mismatch:Im-3m->P6_122,Recover Sc-V P6_122 lattice/coordinates from supplemental or Ref.32; current V.scf.in Im-3m is wrong.,1.12
